wwtp_jurisdiction,wwtp_id,reporting_jurisdiction,sample_location,sample_location_specify,key_plot_id,county_names,county_fips,population_served,date_start,date_end,ptc_15d,detect_prop_15d,percentile,sampling_prior,first_sample_date
Nebraska,922,Nebraska,Treatment plant,,NWSS_ne_922_Treatment plant_raw wastewater,Lancaster,31109,100000,2023-05-05,2023-05-19,936,100,61.5,no,2023-05-15
Nebraska,922,Nebraska,Treatment plant,,NWSS_ne_922_Treatment plant_raw wastewater,Lancaster,31109,100000,2023-05-06,2023-05-20,936,100,61.5,no,2023-05-15
Nebraska,922,Nebraska,Treatment plant,,NWSS_ne_922_Treatment plant_raw wastewater,Lancaster,31109,100000,2023-05-07,2023-05-21,936,100,61.5,no,2023-05-15
Nebraska,922,Nebraska,Treatment plant,,NWSS_ne_922_Treatment plant_raw wastewater,Lancaster,31109,100000,2023-05-08,2023-05-22,90,100,68.333,no,2023-05-15
Nebraska,922,Nebraska,Treatment plant,,NWSS_ne_922_Treatment plant_raw wastewater,Lancaster,31109,100000,2023-05-09,2023-05-23,90,100,68.333,no,2023-05-15
Nebraska,922,Nebraska,Treatment plant,,NWSS_ne_922_Treatment plant_raw wastewater,Lancaster,31109,100000,2023-05-10,2023-05-24,23,100,66.0,no,2023-05-15
Nebraska,922,Nebraska,Treatment plant,,NWSS_ne_922_Treatment plant_raw wastewater,Lancaster,31109,100000,2023-05-11,2023-05-25,23,100,66.0,no,2023-05-15
Nebraska,922,Nebraska,Treatment plant,,NWSS_ne_922_Treatment plant_raw wastewater,Lancaster,31109,100000,2023-05-12,2023-05-26,23,100,66.0,no,2023-05-15
Nebraska,922,Nebraska,Treatment plant,,NWSS_ne_922_Treatment plant_raw wastewater,Lancaster,31109,100000,2023-05-13,2023-05-27,23,100,66.0,no,2023-05-15
Nebraska,922,Nebraska,Treatment plant,,NWSS_ne_922_Treatment plant_raw wastewater,Lancaster,31109,100000,2023-05-14,2023-05-28,23,100,66.0,no,2023-05-15
Nebraska,922,Nebraska,Treatment plant,,NWSS_ne_922_Treatment plant_raw wastewater,Lancaster,31109,100000,2023-05-15,2023-05-29,106,100,72.8,no,2023-05-15
Nebraska,922,Nebraska,Treatment plant,,NWSS_ne_922_Treatment plant_raw wastewater,Lancaster,31109,100000,2023-05-16,2023-05-30,95,100,72.8,no,2023-05-15
Nebraska,922,Nebraska,Treatment plant,,NWSS_ne_922_Treatment plant_raw wastewater,Lancaster,31109,100000,2023-05-17,2023-05-31,73,100,82.2,no,2023-05-15
Nebraska,922,Nebraska,Treatment plant,,NWSS_ne_922_Treatment plant_raw wastewater,Lancaster,31109,100000,2023-05-18,2023-06-01,141,100,82.2,no,2023-05-15
Nebraska,922,Nebraska,Treatment plant,,NWSS_ne_922_Treatment plant_raw wastewater,Lancaster,31109,100000,2023-05-19,2023-06-02,141,100,82.2,no,2023-05-15
Nebraska,922,Nebraska,Treatment plant,,NWSS_ne_922_Treatment plant_raw wastewater,Lancaster,31109,100000,2023-05-20,2023-06-03,141,100,82.2,no,2023-05-15
Nebraska,922,Nebraska,Treatment plant,,NWSS_ne_922_Treatment plant_raw wastewater,Lancaster,31109,100000,2023-05-21,2023-06-04,141,100,82.2,no,2023-05-15
Nebraska,922,Nebraska,Treatment plant,,NWSS_ne_922_Treatment plant_raw wastewater,Lancaster,31109,100000,2023-05-22,2023-06-05,-10,100,75.2,no,2023-05-15
Nebraska,922,Nebraska,Treatment plant,,NWSS_ne_922_Treatment plant_raw wastewater,Lancaster,31109,100000,2023-05-23,2023-06-06,-22,100,75.2,no,2023-05-15
Nebraska,922,Nebraska,Treatment plant,,NWSS_ne_922_Treatment plant_raw wastewater,Lancaster,31109,100000,2023-05-24,2023-06-07,-85,100,58.8,no,2023-05-15
Nebraska,922,Nebraska,Treatment plant,,NWSS_ne_922_Treatment plant_raw wastewater,Lancaster,31109,100000,2023-05-25,2023-06-08,-98,100,58.8,no,2023-05-15
Nebraska,922,Nebraska,Treatment plant,,NWSS_ne_922_Treatment plant_raw wastewater,Lancaster,31109,100000,2023-05-26,2023-06-09,-98,100,58.8,no,2023-05-15
Nebraska,922,Nebraska,Treatment plant,,NWSS_ne_922_Treatment plant_raw wastewater,Lancaster,31109,100000,2023-05-27,2023-06-10,-98,100,58.8,no,2023-05-15
Nebraska,922,Nebraska,Treatment plant,,NWSS_ne_922_Treatment plant_raw wastewater,Lancaster,31109,100000,2023-05-28,2023-06-11,-98,100,58.8,no,2023-05-15
Nebraska,922,Nebraska,Treatment plant,,NWSS_ne_922_Treatment plant_raw wastewater,Lancaster,31109,100000,2023-05-29,2023-06-12,-89,100,50.6,no,2023-05-15
Nebraska,922,Nebraska,Treatment plant,,NWSS_ne_922_Treatment plant_raw wastewater,Lancaster,31109,100000,2023-05-30,2023-06-13,-86,100,50.6,no,2023-05-15
Nebraska,922,Nebraska,Treatment plant,,NWSS_ne_922_Treatment plant_raw wastewater,Lancaster,31109,100000,2023-05-31,2023-06-14,-63,100,35.4,no,2023-05-15
Nebraska,922,Nebraska,Treatment plant,,NWSS_ne_922_Treatment plant_raw wastewater,Lancaster,31109,100000,2023-06-01,2023-06-15,74,100,35.4,no,2023-05-15
Nebraska,922,Nebraska,Treatment plant,,NWSS_ne_922_Treatment plant_raw wastewater,Lancaster,31109,100000,2023-06-02,2023-06-16,74,100,35.4,no,2023-05-15
Nebraska,922,Nebraska,Treatment plant,,NWSS_ne_922_Treatment plant_raw wastewater,Lancaster,31109,100000,2023-06-03,2023-06-17,74,100,35.4,no,2023-05-15
Nebraska,922,Nebraska,Treatment plant,,NWSS_ne_922_Treatment plant_raw wastewater,Lancaster,31109,100000,2023-06-04,2023-06-18,74,100,35.4,no,2023-05-15
Nebraska,922,Nebraska,Treatment plant,,NWSS_ne_922_Treatment plant_raw wastewater,Lancaster,31109,100000,2023-06-05,2023-06-19,-17,100,17.8,no,2023-05-15
Nebraska,922,Nebraska,Treatment plant,,NWSS_ne_922_Treatment plant_raw wastewater,Lancaster,31109,100000,2023-06-06,2023-06-20,162,100,17.8,no,2023-05-15
Nebraska,922,Nebraska,Treatment plant,,NWSS_ne_922_Treatment plant_raw wastewater,Lancaster,31109,100000,2023-06-07,2023-06-21,286,100,20.2,no,2023-05-15
Nebraska,922,Nebraska,Treatment plant,,NWSS_ne_922_Treatment plant_raw wastewater,Lancaster,31109,100000,2023-06-08,2023-06-22,23,100,20.2,no,2023-05-15
Nebraska,922,Nebraska,Treatment plant,,NWSS_ne_922_Treatment plant_raw wastewater,Lancaster,31109,100000,2023-06-09,2023-06-23,23,100,20.2,no,2023-05-15
Nebraska,922,Nebraska,Treatment plant,,NWSS_ne_922_Treatment plant_raw wastewater,Lancaster,31109,100000,2023-06-10,2023-06-24,23,100,20.2,no,2023-05-15
Nebraska,922,Nebraska,Treatment plant,,NWSS_ne_922_Treatment plant_raw wastewater,Lancaster,31109,100000,2023-06-11,2023-06-25,23,100,20.2,no,2023-05-15
Nebraska,922,Nebraska,Treatment plant,,NWSS_ne_922_Treatment plant_raw wastewater,Lancaster,31109,100000,2023-06-12,2023-06-26,38,100,27.2,no,2023-05-15
Nebraska,922,Nebraska,Treatment plant,,NWSS_ne_922_Treatment plant_raw wastewater,Lancaster,31109,100000,2023-06-13,2023-06-27,30,100,27.2,no,2023-05-15
Nebraska,922,Nebraska,Treatment plant,,NWSS_ne_922_Treatment plant_raw wastewater,Lancaster,31109,100000,2023-06-14,2023-06-28,95,100,37.8,no,2023-05-15
Nebraska,922,Nebraska,Treatment plant,,NWSS_ne_922_Treatment plant_raw wastewater,Lancaster,31109,100000,2023-06-15,2023-06-29,401,100,37.8,no,2023-05-15
Nebraska,922,Nebraska,Treatment plant,,NWSS_ne_922_Treatment plant_raw wastewater,Lancaster,31109,100000,2023-06-16,2023-06-30,401,100,37.8,no,2023-05-15
Nebraska,922,Nebraska,Treatment plant,,NWSS_ne_922_Treatment plant_raw wastewater,Lancaster,31109,100000,2023-06-17,2023-07-01,401,100,37.8,no,2023-05-15
Nebraska,922,Nebraska,Treatment plant,,NWSS_ne_922_Treatment plant_raw wastewater,Lancaster,31109,100000,2023-06-18,2023-07-02,401,100,37.8,no,2023-05-15
Nebraska,922,Nebraska,Treatment plant,,NWSS_ne_922_Treatment plant_raw wastewater,Lancaster,31109,100000,2023-06-19,2023-07-03,104,100,38.8,no,2023-05-15
Nebraska,922,Nebraska,Treatment plant,,NWSS_ne_922_Treatment plant_raw wastewater,Lancaster,31109,100000,2023-06-20,2023-07-04,-21,100,38.8,no,2023-05-15
Nebraska,922,Nebraska,Treatment plant,,NWSS_ne_922_Treatment plant_raw wastewater,Lancaster,31109,100000,2023-06-21,2023-07-05,-47,100,40.0,no,2023-05-15
Nebraska,922,Nebraska,Treatment plant,,NWSS_ne_922_Treatment plant_raw wastewater,Lancaster,31109,100000,2023-06-22,2023-07-06,-61,100,40.0,no,2023-05-15
Nebraska,922,Nebraska,Treatment plant,,NWSS_ne_922_Treatment plant_raw wastewater,Lancaster,31109,100000,2023-06-23,2023-07-07,-61,100,40.0,no,2023-05-15
Nebraska,922,Nebraska,Treatment plant,,NWSS_ne_922_Treatment plant_raw wastewater,Lancaster,31109,100000,2023-06-24,2023-07-08,-61,100,40.0,no,2023-05-15
Nebraska,922,Nebraska,Treatment plant,,NWSS_ne_922_Treatment plant_raw wastewater,Lancaster,31109,100000,2023-06-25,2023-07-09,-61,100,40.0,no,2023-05-15
Nebraska,922,Nebraska,Treatment plant,,NWSS_ne_922_Treatment plant_raw wastewater,Lancaster,31109,100000,2023-06-26,2023-07-10,49,100,47.0,no,2023-05-15
Nebraska,922,Nebraska,Treatment plant,,NWSS_ne_922_Treatment plant_raw wastewater,Lancaster,31109,100000,2023-06-27,2023-07-11,46,100,47.0,no,2023-05-15
Nebraska,922,Nebraska,Treatment plant,,NWSS_ne_922_Treatment plant_raw wastewater,Lancaster,31109,100000,2023-06-28,2023-07-12,43,100,53.0,no,2023-05-15
Nebraska,922,Nebraska,Treatment plant,,NWSS_ne_922_Treatment plant_raw wastewater,Lancaster,31109,100000,2023-06-29,2023-07-13,337,100,53.0,no,2023-05-15
Nebraska,922,Nebraska,Treatment plant,,NWSS_ne_922_Treatment plant_raw wastewater,Lancaster,31109,100000,2023-06-30,2023-07-14,337,100,53.0,no,2023-05-15
